Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Schug-Kevin-CHEM-4461-101-INSTRUMENTAL ANALYSIS & CHEM-5461-101-ANALYTICAL INSTRUMENTATION,4,4,4,4,4
Schuman-Donald-SOCW-2313-003-SW PRACTICE I,3.6667,3.6667,3.8333,3.8333,4
Schuman-Donald-SOCW-2313-005-SW PRACTICE I,4.4444,4.1111,4,4.6667,4.5556
Schuman-Donald-SOCW-6380-001-TRTMNT OF ADDICTIVE BEHAVIORS,2.7059,2.75,2.5882,4,3.9412
Schuyler-Blair-MAVS-1000-019-First Year Experience,4.3333,4.4286,4.381,4.1905,4.4286
Schwartz-Marc-EDUC-5365-001-THEORETICAL MODELS IN MBE,3.875,4.75,4.375,4.75,4.5
Schwemer-Lee-BLAW-3310-004-LEGAL/ETHICAL BUS ENVIRONMENT,4.5455,4.6364,4.6061,4.1515,4.303
Schwemer-Lee-BLAW-3310-006-LEGAL/ETHICAL BUS ENVIRONMENT,4.5,4.6364,4.5588,4.2941,4.0588
Schwemer-Lee-BLAW-3314-001-REAL ESTATE LAW,4.25,4.5,4.4375,3.9375,3.9375
Schwemer-Lee-BLAW-5330-001-LEGAL ENVIRON OF BUSINESS,4.75,4.875,4.5714,4.25,4
Scielzo-Shannon-PSYC-5324-001-APPLIED RESEARCH DESIGN,4.8333,4.8333,4.3333,4.6667,4.3333
Scielzo-Shannon-PSYC-6349-001-PSYCHOMETRIC THEORY,4.2857,4.3571,3.7143,4.2143,4.5
Scott-Karen-INSY-2303-003-INTRO TO MIS/DATA PROCESSING,3.9118,3.7059,3.7059,3.8824,3.9706
Scott-Karen-INSY-2303-007-INTRO TO MIS/DATA PROCESSING,4.3636,4.1818,4.3636,4.2273,4.4091
Scott-Karen-INSY-2303-009-INTRO TO MIS/DATA PROCESSING,4.2222,4.2222,4.2222,4,4.1111
Scott-Karen-INSY-3304-001-DATABASE MANAGEMENT SYSTEMS,4.3077,3.8846,4.12,4.1538,4.2692
Scott-Karen-INSY-4325-001-INFORMATION RESOURCE MGMT,4.7692,4.7692,4.7692,4.7692,4.7692
Scott-Marsha-SCIE-1234-001-STEP 1 & 2 COMBO: INQRY TEACH,4.5714,4.7143,4.5714,4.7143,4.5
Seal-Lawton-CHEM-4346-101-ADVANCED SYNTHETIC METHODS,4.6,4.4,4.5,4.8,4.9
Seals-Micaela-MAVS-1000-010-First Year Experience,4.5,4.5,4.5,4.5,4.5
Seat-Stanley-BLAW-3310-002-LEGAL/ETHICAL BUS ENVIRONMENT,4.0323,4.1935,3.871,3.9355,4.0645
Seat-Stanley-BLAW-3310-005-LEGAL/ETHICAL BUS ENVIRONMENT,4.35,4.4,4.425,4.3077,4.359
Sellers-James-MARK-4308-001-SALES FORCE MANAGEMENT,5,5,5,5,5
Semingson-Peggy-LIST-4373-001-EC-6 LIT LRNG: RDG & WRTG,4.7083,4.7083,4.5833,4.6667,4.625
Semingson-Peggy-LIST-5346-001-TEACHING THE WRITING PROCESS,4.5,4.1667,4,4.6667,4.6667
Semingson-Peggy-LIST-5346-005-TEACHING THE WRITING PROCESS,4.3585,4.4381,4.283,4.4,4.4231
Seo-Dong-Jun-CE-5357-001/002-HYDROLOGIC TECHNIQUES,4.6667,4.8889,4.7778,4.4444,4.8889
Seo-Sat-MATH-1301-013-CONTEMPORARY MATH,3.3529,4.1176,3,3.4118,4
Shaffer-Bethany-ENGL-1301-087-RHETORIC AND COMPOSITION I,4.7143,4.5714,4.8571,4.7143,4.8571
Shaffer-Bethany-ENGL-2303-001-TOPICS IN LIT,4.5,4.5,4.5,4.5,4.3333
Shaffer-Bethany-ENGL-2329-016-AMERICAN LITERATURE,4.7,4.8,4.7,4.5,4.3
Shafiee Zargar-Ehsan-LING-2301-004-STUDY OF HUMAN LANGUAGES,4.1429,4,3.6923,3.8462,4.4615
Shahandashti-Mohsen-CE-3310-001-CONSTRUCTION & VALUE ENGR,4.6154,4.7692,4.6154,4.6154,4.6538
Shahandashti-Mohsen-CE-5379-001/003-CONSTRUCTION COST ESTIMATING,4.5306,4.5714,4.3673,4.4694,4.5714
Shahandashti-Mohsen-CE-5386-001-CONST PLANNING & SCHEDULING,4.551,4.6939,4.5102,4.5918,4.7143
Shahooei-Sirwan-CE-2331-005-ENGR MEASUREMENT/COMP MODELING,4.0625,4.1875,3.9375,4.3125,4.375
Shahooei-Sirwan-CE-2331-006-ENGR MEASUREMENT/COMP MODELING,4.3125,4.3333,4,4,4.375
Shaney-Kyle-BIOL-1442-006-STRUC & FUNC OF ORGANISMS,4.4,4.4,4.4,4,4.6
Shaney-Kyle-BIOL-1442-007-STRUC & FUNC OF ORGANISMS,3.375,4.125,3.625,4,3.875
Shaney-Kyle-BIOL-1442-010-STRUC & FUNC OF ORGANISMS,4.5714,4.4286,4.5714,4.5714,4.5714
Sharma-Bonita-SOCW-5303-002-FOUND OF SCIAL PLCY & SERVICES,4.6154,4.7692,4.6923,4.9231,4.8333
Sharma-Bonita-SOCW-5303-003/004-FOUND OF SCIAL PLCY & SERVICES,4.1667,4.25,4.0833,4.2,4.6667
Sharma-Suresh-PHYS-3445-001-OPTICS,4.1538,4.7692,4.7692,4.6154,4.3077
Shavandy-Phariborze-POLS-2311-003-GOVT OF U S,4.2353,4.6269,4.3088,4.3529,4.6029
Sheikh-Hafiz Fahad-CSE-4323-001-QUANTITATIVE COMPUTER ARCH & CSE-5350-001-COMPUTER ARCHITECTURE II,3.2,3.52,2.68,3.36,4
Shelton-Beth-SOCI-3331-001 & WOMS-3331-001-SOCIOLOGY OF THE FAMILY,4.5,4.5556,4.3889,4.4444,4.3889
Shelton-Beth-SOCI-3331-002 & WOMS-3331-002-SOCIOLOGY OF THE FAMILY,4.6923,4.8077,4.6154,4.6923,4.64
Shelton-Beth-SOCI-3356-001 & WOMS-3356-001-WOMEN WORK & SOCIAL CHANGE,4.9333,5,5,5,4.9333
Shelton-Jason-MAS-3337-001 / SOCI-3337-001 / AAST-3337-001-RACIAL & ETHNIC GROUPS IN US,4.6364,4.6818,4.7273,4.5909,4.5909
Shelton-Jason-SOCI-1311-003-INTRO TO SOCIO,4.8889,4.9111,4.9091,4.7778,4.7778
Shelton-Jason-SOCI-1311-004-INTRO TO SOCIO,4.8889,4.9167,4.9143,4.8333,4.8
Shelton-Jason-SOCI-5319-001-SOCIAL INSTITUTIONS & CHANGE,4.75,4.75,4.75,4.75,4.75
Shiakolas-Panayiotis-MAE-3183-001-MEASUREMENTS LABORATORY II,3.5,4.5,4.5,4.5,4
Shiakolas-Panayiotis-MAE-3183-002-MEASUREMENTS LABORATORY II,4.8,4.8,4.6,5,4.2
Shiakolas-Panayiotis-MAE-3183-003-MEASUREMENTS LABORATORY II,4,4.3333,4.6667,4.6667,4.6667
Shiakolas-Panayiotis-MAE-3183-004-MEASUREMENTS LABORATORY II,4.6667,4.6667,4.6667,4.6667,4
Shiakolas-Panayiotis-ME-5337-001-INTRODUCTION TO ROBOTICS,4.2727,4.4545,4.3,4.2727,4.2727
Shin-Donghyun-MAE-3310-001-THERMODYNAMICS I,4.4375,4.5625,4.5,4.375,4.5
Shin-Donghyun-MAE-4301-003 & ME-5390-008-SPEC TOPICS MECH ENGR,4.8182,4.9091,4.8182,4.8182,4.9091
Shipman-Barbara-MATH-3300-001-INTRODUCTION TO PROOFS,4.75,5,5,4.875,4.625
Shipman-Barbara-MATH-4322-001-INTRO COMPLEX VARIABLES,5,4.9,4.9,4.8,4.8
Shishakly-Reem-ARAB-1441-001-BEGINNING ARABIC I,4.4286,4.5714,4.4286,4.7143,4.7143
Shishakly-Reem-ARAB-2313-001-INTERMEDIATE ARABIC I,3.6,4.3,3.2,4,4.4
Shishakly-Reem-ARAB-2314-001-INTERMEDIATE ARABIC II,4,4.5,3.75,4.25,4.25
Shishakly-Reem-ARAB-3303-001-ARABIC CONVERSATION & CULTURE,4.6667,4.6667,4.6667,4.6667,4.6667
Shows-Gregory-ENGL-1301-020-RHETORIC AND COMPOSITION I,4.7143,4.2857,4.5714,4.2857,4.2857
Shows-Gregory-ENGL-1301-024-RHETORIC AND COMPOSITION I,3.875,3.875,3.75,4.375,3.875
Shows-Gregory-ENGL-1301-033-RHETORIC AND COMPOSITION I,4,4.1429,4,3.8571,3.7143
Shows-Gregory-ENGL-1301-086-RHETORIC AND COMPOSITION I,4.625,4.875,4.75,4.375,4
Shrestha-Sanjaya-BIOL-2460-005-NURSING MICROBIOLOGY,4.8,4.9,4.8,4.9,4.9
Shrestha-Sanjaya-BIOL-3444-006-GENERAL MICROBIOLOGY,4.6667,4.5556,4.4444,4.6667,4.4444
Sikora-Riyaz-INSY-5339-001-PRIN OF BUSINESS DATA MINING,4.4615,4.7308,4.4615,4.5,4.5385
Sikora-Riyaz-INSY-5341-001-ANALYSIS AND DESIGN,4.25,4.5,4.25,4.25,3.75
Sikora-Riyaz-INSY-5341-070-ANALYSIS AND DESIGN,4.4286,4.5,4.4286,4.4286,4.4286
Silos-Efrain-SPAN-1441-011-BEGINNING SPANISH I,4.2727,4.3636,4.0909,4,4.2727
Silos-Efrain-SPAN-1441-013-BEGINNING SPANISH I,4.4706,4.4706,4.4375,4.3529,4.5294
Silva-David-MAVS-1000-084-First Year Experience,4.2222,4.2222,4.4444,4.4444,4
Silva-Laura-MAVS-1000-079-First Year Experience,4.4286,4.2857,4.7143,4,4.2857
Silwal-Sadananda-BIOL-1441-028-CELL MOL BIOL,2.8,3.6,2.6,3.7,4.4
Silwal-Sadananda-BIOL-1441-033-CELL MOL BIOL,2.7143,3.4286,2.4286,3.2857,3.7143
Singh-Ravi Prakash-CHEM-1441-109-GENERAL CHEMISTRY I,4.4444,4.6667,4.2222,4.5556,4.4444
Singh-Ravi Prakash-CHEM-1441-116-GENERAL CHEMISTRY I,4.2143,4.4615,3.9286,4.2143,4.5714
Skantz-Terrance-ACCT-5319-001-FINANCIAL ACCOUNTING III,4.56,4.68,4.48,4.5833,4.5
Skantz-Terrance-ACCT-6312-020-SEMINAR IN ACCT RESEARCH IV,4.5,5,4.5,5,5
Skiles-duToit-Sara-SOCI-3328-001 & WOMS-3328-001-MARITAL & SEXUAL LIFESTYLES,4.2157,4.1569,4.08,4.2157,4.1569
Skiles-duToit-Sara-SOCI-3328-002 & WOMS-3328-002-MARITAL & SEXUAL LIFESTYLES,4.5806,4.2581,4.2581,4.2,4.2581
Sledge-Daniel-POLS-2312-006-STATE & LOCAL GOVT,4.4194,4.5,4.4839,4.3226,4.1333
Sledge-Daniel-POLS-4350-001-HEALTH POLITICS AND POLICY,4.6667,4.6667,4.75,4.75,4.4167
Slinkman-Craig-BSTAT-3322-002-BUSINESS STATISTICS II,3.087,2.6087,2.5652,3.5217,3.4783
Slinkman-Craig-BSTAT-5301-001-INTRODUCTION TO STATISTICS,2.5,2.5,3.125,3.375,3.5
Slinkman-Craig-BSTAT-5360-001-Comp Techniques for BA,3.5,3.1,3.3,3.8,3.8
Sliva-Shannon-SOCW-2311-009/010-INTRO SOC WORK,4.7143,4.7143,4.7143,4.5714,4.7143
Sliva-Shannon-SOCW-5306-001-GENERALIST MACRO PRACTICE,4.5714,4.9286,4.6429,4.6429,4.7857
Sloan-Kevin-ARCH-1341-006-DESIGN COMMUNICATIONS I,3.5333,3.5333,3.2143,4.1333,3.3333
Sloan-Kevin-ARCH-3553-004-DESIGN STUDIO: ARCHITECTURE I,4.25,4.25,4.75,4.5,4
Small-Eusebius-SOCW-5303-001-FOUND OF SCIAL PLCY & SERVICES,4.2727,4.6364,4,4.7273,4.7273
Smallwood-Aaron-ECON-4322-001-INTERNATIONAL FINANCE,4.5,4.5,4.3333,4.4167,5
Smallwood-Aaron-ECON-4323-001 & ECON-5301-001-MATHEMATICS FOR ECONOMISTS,4.4167,4.6,4.1667,4.4167,4.4167
Smallwood-Aaron-ECON-5337-001-BUSINESS & ECON FORECASTING,4.6667,4.6667,5,5,4.6667
Smant-Kevin-HIST-1311-004-U.S. HISTORY TO 1865,4.1304,4.5,4.2826,4.0217,4.3913
Smant-Kevin-HIST-1311-005-U.S. HISTORY TO 1865,4.2941,4.549,4.4118,4,4.4902
Smant-Kevin-HIST-1312-001-U.S. HISTORY SINCE 1865,4.3529,4.4706,4.3529,4,4.1765
Smant-Kevin-HIST-1312-015-U.S. HISTORY SINCE 1865,4.8571,4.8571,4.7143,4.7143,4.7143
Smart-Utpal-BIOL-2457-003-HUMAN ANATOMY & PHYSIOLOGY I,4.3636,4.4545,4.2727,4.1818,4.3636
Smart-Utpal-BIOL-2457-007-HUMAN ANATOMY & PHYSIOLOGY I,4.1667,4.6667,4.1667,4.5,3.8333
Smith-Osborne-Alexa-SOCW-6373-001-Theory and Modeling Building,4.1667,4.8333,3.5,4.1667,4
Smith-Anthony-ART-3350-001-INTRO NARRATIVE SCREENWRITING,5,4.8333,4.8333,5,4.6667
Smith-Dantrayl-MAVS-1000-058-First Year Experience,4.2857,4.4286,4.5,4.5,4.5
Smith-David-MATH-2425-400-CALCULUS II,3.8889,3.7778,3.625,4,3.7778
Smith-David-MATH-3307-001-ELEMENTARY NUMBER THEORY,4.2857,4.8571,4.5714,4.4286,4.4286
Smith-David-MATH-3330-001-INTRO MATRICES/ LINEAR ALGEBRA,4.6429,5,4.4615,4.4286,4
Smith-David-MATH-3330-004-INTRO MATRICES/ LINEAR ALGEBRA,4,4,3.9412,3.8824,4.0588
Smith-Dudley-AE-5363-001/002 & ME-5363-001/002-INTRO TO ROTORCRAFT ANALYSIS,3,5,4,4.5,4.5
Smith-Dudley-MAE-1312-004-ENGINEERING STATICS,3.2857,3.5714,3.1429,3.7143,3.5714
Smith-Dudley-MAE-3306-001-FLIGHT PERFORMANCE & STABILITY,2.7692,3.3077,3.1538,3.1538,3.0833
Smith-Dwain-ART-2358-001-INTRO FILM/VIDEO,4.1667,4.1667,4.3333,4.8333,4.5
Smith-Dwain-ART-2358-002-INTRO FILM/VIDEO,3.75,3.75,3.625,3.875,3.875
Smith-Dwain-ART-4362-001-ADVANCED FILM/VIDEO,4.5,5,5,5,5
Smith-Elvira-MAVS-1000-078-First Year Experience,4.4667,4.6,4.5,4.4667,4.5714
Smith-Eric-BIOL-3452-001-COMPARATIVE VERTEBRATE ANATOMY,4.1667,4.5,4,4.6667,4.6667
Smith-Harold-EDAD-5389-341-ADMINISTRATIVE PRACTICUM,4.6,4.6333,4.6333,4.6207,4.4828
Smith-Harold-EDAD-5389-351-ADMINISTRATIVE PRACTICUM,4.1,4.2667,4.1333,4.3333,4.2667
Smith-Harold-EDAD-5399-241-CAPSTONE PRACTICUM ED LDRSHP,4.1667,4.3056,4.1111,4.4444,4.3429
Smith-Johanna-ENGL-4399-003-SENIOR SEMINAR,3,3,3.25,4.25,3.75
Smith-Johanna-ENGL-6330-001-GENRE STUDIES BRITISH LIT,3.4444,3.8889,3.5556,3.8889,4.4444
Smith-John-EDUC-5394-205-UNDERSTANDING CLASSROOM RSRCH,4.3333,4.4762,4.2381,4.381,4.3333
Smith-Joul-ENGL-1302-022-RHETORIC AND COMPOSITION II,3.8,3.8,4,4,4
Smith-Joul-ENGL-1302-027-RHETORIC AND COMPOSITION II,4.7778,4.7778,4.7778,4.7778,4.6667
Smith-Kristy-CRCJ-2334-010-INTRO CRJU SYS,4.561,4.6341,4.5366,4.5,4.6098
Smith-Kristy-CRCJ-2335-001-CRIMINAL JUSTICE ETHICS,4.5455,4.697,4.6364,4.2727,4.5152
Smith-Kristy-CRCJ-3310-002-PROF WRITING FOR CRCJ MAJORS,4.6923,4.8462,4.7692,4.8462,4.8462
Smith-Kristy-CRCJ-4390-001-INTERNSHIP IN CRCJ,4.7143,4.7143,4.7143,4.8571,4.8571
Smith-Kristy-CRCJ-4390-002-INTERNSHIP IN CRCJ,4.5,4.5,4.5,4.5,4.5
Smith-Latoya-CRCJ-4380-002-COMPAR CRIMINAL JUSTICE SYSTEM,4.3333,4.2667,4.2,4.5333,4.3333
Smith-Latoya-CRCJ-4380-103-COMPAR CRIMINAL JUSTICE SYSTEM,4,4.2,4,4.2,3.8
Smith-Latoya-SOCW-3303-003-SW POL & SERV,5,5,5,5,5
Smith-Latoya-SOCW-6324-008/009-RESEARCH AND EVALUATION II,3.6,3.2,3.2,3.7333,3.0667
Smith-Marcella-SOCW-5301-010-HUMAN BEHAV & SOCIAL ENV I,4.6667,4.3333,4.3333,4.5,4.6667
Smith-Richard-CRCJ-5301-001-PROSEMINAR CRIMINOLOGY/CRM JUS,5,5,4.875,5,5
Smith-Richard-CRCJ-5319-001-ISSUES IN POLICING,5,5,5,5,5
Smith-Samuel-FREN-3320-001 & ARAB/CHIN/GERM/KORE/PORT/RUSS-3310-001-LOCALIZATION & TRANSLATION I and GERM/RUSS-4334-001-THE CULTURE OF BUSINESS,4.4,4.45,4.5,4.25,4.2
Snow-Diane-NURS-5424-001-PSYCHIATRIC NURSING I,4.4615,4.3077,4.1538,4.6667,4.7692
Solomons-John-MUSIC PRIVATE LESSONS,4.75,4.875,5,5,5
Som-Pradip-BSTAT-5325-003-ADVANCED STATISTICAL METHODS,3.5294,4.1765,3.4706,3.4706,3.8824
Som-Pradip-BSTAT-5325-070-ADVANCED STATISTICAL METHODS,4.6,4.6,4.4667,4.6667,4.4667
Sosa-Souad-MATH-1308-300-ELEM STATISTICAL ANALYSIS,3.0444,2.8667,2.7556,3.3556,3.4222
Sosa-Souad-MATH-1308-301-ELEM STATISTICAL ANALYSIS,2.9762,2.8571,2.7381,3.3333,3.5238
Sotelo Munoz-Adriana Paola-CHEM-1465-106-CHEMISTRY FOR ENGINEERS,4.25,4.5,4.25,4.3333,4.6667
Sotelo Munoz-Adriana Paola-CHEM-1465-107-CHEMISTRY FOR ENGINEERS,4.6154,4.6923,4.5385,4.6154,4.5385
Soueid-Alicia-FREN-2313-003-INTERMEDIATE FRENCH I,5,4.75,5,4.75,4.75
Soueid-Alicia-FREN-2314-001-INTERMEDIATE FRENCH II,4.875,4.875,4.9375,4.9333,4.8125
Soueid-Alicia-FREN-3300-002-PHONOLOGY & PRONUNCIATION,4.6667,4.6667,4.5,4.6667,4.8333
Soueid-Alicia-MAVS-1000-091-First Year Experience,4.5714,4.5714,4.8333,4.7143,4.5714
Spann-Catherine-PSYC-2443-005-RESEARCH DESIGN & STATISTICS I,4.5556,4.5556,4.6667,4.5556,4.8889
Sparks-David-EDUC-4331-002-KNOWING & LEARNING MATH & SCIE,4.4444,4.375,4.4444,4.4444,4.3333
Sparks-David-EDUC-4333-002-MULTI TEACH PRAC MATH/SCIENCE,3.3333,4.1111,3.4444,4.1111,3.7778
Sparks-David-EDUC-5309-005-ADV INSTRUCTIONAL STRATEGIES,3.9318,3.9394,3.9848,4.0916,4.2462
Speer-Kathleen-NURS 5301.400 & NURSG 5301.400 RESEARCH IN NURSING,3.8214,3.8571,3.5926,3.8571,4.1786
Speer-Kathleen-NURS-5301-401 & NURSG 5301-401 RESEARCH IN NURSING,4.3256,4.2791,4.0952,4.5238,4.3721
Speer-Kathleen-NURS-5301-402-NURSG-5301-402-RESEARCH IN NURSING,3.6667,3.7381,3.4634,3.7805,3.7857
Speer-Kathleen-NURS-5301-403-RESEARCH IN NURSING,4.2963,4.4074,4.2963,4.5,4.3846
Speer-Kathleen-NURS-5301-404-RESEARCH IN NURSING,3.9048,4,3.8095,3.9048,4.05
Speier-Amy-ANTH-2322-001-GLOBAL CULTURE,4.2,4.3,4.2,4.25,4.4737
Speier-Amy-ANTH-2322-002-GLOBAL CULTURE,3.6,4,3.6,3.7333,3.8667
Speier-Amy-ANTH-3369-001-MEDICAL ANTH,4,4.25,4.125,4.5,4.25
Spurlock-Barry-PHYS-1441-003-GENERAL COLLEGE PHYSICS I,4.2941,4.4412,4.4412,4.2647,4.4848
Spurlock-Barry-PHYS-1441-004-GENERAL COLLEGE PHYSICS I,4.6341,4.7073,4.6098,4.6098,4.725
Spurlock-Barry-PHYS-1443-002-GENERAL TECHNICAL PHYSICS I,4.6591,4.7955,4.6136,4.5455,4.7674
Srinidhi-Bin-ACCT-5311-001-FINANCIAL ACCOUNTING I,3.7857,3.3571,3.2308,3.5,4.1429
Srinidhi-Bin-ACCT-5324-001-FINANCIAL STATEMENT ANALYSIS,4.2857,4.1429,4.1429,4.1429,4.5714
Stafford-Tyesha-ENGL-1301-010-RHETORIC AND COMPOSITION I,4.4667,4.5333,4.3571,4.2667,4.4
Stafford-Tyesha-ENGL-1301-090-RHETORIC AND COMPOSITION I,4.25,4.5,3.75,4,4.75
Starr-Alison-ART-1306-005-THREE-DIMENSIONAL DESIGN,4.75,4.75,4.75,4.75,4.6667
Steele-Nathan-MATH-1327-001-ARCHITECTURAL CALCULUS,4.5556,4.6667,4.2222,3.5556,4.3333
Steen-Charles-ECON-3305-001-LAWS AND ECONOMICS,3.8333,4.0556,3.8889,3.7778,3.6111
Stefan-Alexandra-CSE-1310-002-INTRO COMPUTERS & PROGRAMMING,3.4286,3.4286,3.4286,3.5714,4.1429
Stefan-Alexandra-CSE-1310-005-INTRO COMPUTERS & PROGRAMMING,3,3,2.75,3.5,3.75
Stefan-Alexandra-CSE-1310-006-INTRO COMPUTERS & PROGRAMMING,3.8571,3.8571,3.5714,4.1429,4
Stein-Johnny-ENGL-1301-028-RHETORIC AND COMPOSITION I,4.875,4.75,4.875,4.75,4.5
Stein-Johnny-ENGL-1301-062-RHETORIC AND COMPOSITION I,4.8571,4.8571,4.7143,4.7143,4.4286
Stein-Johnny-ENGL-1301-073-RHETORIC AND COMPOSITION I,4.6667,4.6667,4.5,4.6667,4.1667
Stein-Johnny-ENGL-1301-085-RHETORIC AND COMPOSITION I,4.9091,4.9091,4.8182,4.9091,4.7273
Stein-Johnny-ENGL-1301-089-RHETORIC AND COMPOSITION I,4.8333,4.6667,4.8333,4.6667,4.75
Stephens-Claudia-THEA-3307-001-COSTUME HISTORY,4.125,3.875,4.125,4.625,3.875
Stewart-James-CTEC-2300-001-INTERNET COMMUNICATION,4.7778,4.6667,4.5556,4.5556,4.3333
Stodnick-Jacqueline-ENGL-3351-002-HIST BRIT LIT I,4.0909,3.9545,4.2273,4.2727,4.4091
Stodnick-Jacqueline-ENGL-3351-003-HIST BRIT LIT I,4.3333,4.2222,4.2778,4.2353,4.3889
Stodnick-Jacqueline-ENGL-4301-001-HIST ENGL LANG,4.3636,4.5455,4.3636,4.3182,4.4545
Stohr-Rachel-COMM-4335-001-INTERCULTURAL COMMUNICATION,4.7692,4.9231,4.6923,4.7692,4.8462
Stohr-Rachel-COMS-3309-001-ORGANIZATIONAL COMMUNICATION,4.625,4.625,4.5,4.375,4.625
Stone-Lori-SOCW-6311-001-DIRECT METHODS COUPLES COUNSEL,4.1818,4.3636,4.3636,4.4545,4.0909
Stoner-James-EDAD-1130-002-FOUNDATIONS OF LEADERSHIP,3.875,4.1429,4.125,4.25,4.375
Stoner-James-EDAD-1130-004-FOUNDATIONS OF LEADERSHIP,4.1818,4,4.0909,4.2727,4.2727
Stoner-James-EDAD-1130-005-FOUNDATIONS OF LEADERSHIP,4.7143,4.5714,4.7143,4.5714,4.7143
Story-Dale-POLS-3310-001-RESEARCH & POLITICAL ANALYSIS and POLS-5310-001-EMPIRICAL THEORY & RESEARCH,3.1111,4,3.2222,3.6667,4.1111
Story-Dale-POLS-5335-001-LATIN AMERICAN POLITICS,4.4545,4.6364,4.1818,4.5455,4.7273
Stotter-Douglas-MUSI-0102-001 & MUSI-5100-001-WIND SYMPHONY,4.32,4.28,3.96,4.12,4.32
Stotter-Douglas-MUSI-3308-001-INSTRUMENTAL CONDUCTING I,4.8333,4.8333,4.3333,4.8333,4.8333
Stotter-Douglas-MUSIC PRIVATE LESSONS,4.6667,5,4.6667,4.3333,4.3333
Stradling-Alden-PHYS-1443-003-GENERAL TECHNICAL PHYSICS I,4.3922,4.22,4.0588,4.549,4.4706
Stratman-Connor-ENGL-1301-014-RHETORIC AND COMPOSITION I,3.2727,3.1818,3.0909,3.2727,4.2727
Stratman-Connor-ENGL-1301-021-RHETORIC AND COMPOSITION I,2.3077,2.8462,2.3846,2.5385,3.3846
Stratton-Jedidiah-KINE-3300-002-FUNCTIONAL ANATOMY,4.15,4.2,4.2,4.15,4
Stratton-Jedidiah-KINE-5430-002-ORTHOPEDIC ASSESSMENT I,4.6,4.6,4.5,4.8,4.6
Strom-Edwin-CHEM-2322-002-ORGANIC CHEMISTRY,4,4.0417,3.125,4.1667,4.5
Stutzman-Charity-MAVS-1000-054-First Year Experience,4.5,4.625,4.625,4.75,4.5
Stvan-Laurel-LING-4330-001 & LING-5381-001-CORPUS LINGUISTICS,4.5,4.7,4.7,4.5,5
Su-Chunke-COMM-3300-001-COMMUNICATION TECHNOLOGY,4.5167,4.6833,4.5833,4.4667,4.6667
Su-Chunke-CTEC-2350-001-WEB COMM DESIGN DEVELOPMENT 1,4.3333,4.3889,4.2778,4.3889,4.2941
Su-Jianzhong-MATH-3335-001-ANALYSIS I,4.75,4.75,4.75,5,4.75
Subbarao-Kamesh-AE-5374-001/002 & ME-5374-001/002-NONLINEAR SYS ANALYSIS/CONTROL,4.8571,5,4.8571,5,4.8571
Subbarao-Kamesh-AE-5378-001; MAE-4378-001; ME-5378-001-INTRO TO UNMANNED VEHICLE SYST,3.3,3.5,3.4,3.2667,3.2
Subbarao-Kamesh-MAE-4310-001-INTRO TO AUTOMATIC CONTROL,4.3636,4.2727,4.1818,4.2727,4.1818
Subedi-Bishnu-CHEM-3175-001-BIOPHYSICAL CHEMISTRY LAB,3.6667,4.3333,4.3333,4,4.6667
Suber-Quainshonda-FS-NURS-1300-020-INTRO TO PROFESSIONAL NURSING,4.25,3.8333,4.3333,4.0833,4
Subramaniam-Chandra-ACCT-5301-071-ACCOUNTING ANALYSIS I,3.5,3.75,3.5,3.75,3.75
Subramaniam-Chandra-ACCT-5301-072-ACCOUNTING ANALYSIS I,4,4,4.25,4,3.5
Sumsion-Scott-INTD-3343-001-INTR DESIGN COMMUNICATION III,4.5714,4.7143,4.7143,5,4.2857
Sun-Mitchell-Shan-MATH-5312-001-MATHEMATICAL STATISTICS I,4.6364,4.8182,4.6364,4.5455,4.8182
Sun-Mitchell-Shan-MATH-5392-004-SELECTED TOPICS IN MATH,4.3,4.4667,4.3,4.3333,4.2
Sun-Junwei-MATH-2425-201-CALCULUS II,3.8,4.1,3.6,3.5,4.1
Sun-Junwei-MATH-2425-202-CALCULUS II,3.6667,3.8889,3.7778,3.6667,3.75
Sun-Yuze-EE-4328-006-CURRENT TOPICS ELECTRICAL ENGR & EE-5389-001-TOPICS IN OPTICS,4.3333,4.5,4.1667,4.8333,4.8333
Sutton-Julie-MATH-2330-001-FUNCTIONS AND MODELING,4.1818,4.2727,3.9091,4.4545,4.2727
Sykes-Teresa-GEOL-1301-003-EARTH SYSTEMS,4.1111,4.2222,3.4444,3.6667,3.6667
Syrdal-Holly-MARK-4311-001-MARKETING RESEARCH,3.5882,3.8235,3.5,3.8824,4.0909
Ta-Vivian-PSYC-2443-006-RESEARCH DESIGN & STATISTICS I,4.3333,4.3333,4.25,4.5833,4.6667
Talebi-Mohsen-CHEM-1441-107-GENERAL CHEMISTRY I,3.9333,4.2667,4,4.0667,4.4667
Talebi-Mohsen-CHEM-1441-124-GENERAL CHEMISTRY I,3.8667,4.2,3.7333,4.2,4.2667
Tam-Jing Ling-MUSIC PRIVATE LESSONS,5,5,4.9231,5,4.8462
Tang-Jie-MATH-1426-301-CALCULUS I,4.2727,4.2727,4.2727,4.2727,4.4545
Tang-Jie-MATH-1426-302-CALCULUS I,3.9091,4.3636,3.7273,3.9091,4.1818
